Title;Price;Stock;Category;Cover;UPC;Product Type;Price (excl. tax);Price (incl. tax);Tax;Availability;Number of reviews
It's Only the Himalayas;45.17;19;Travel;http://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg;a22124811bfa8350;Books;45.17;45.17;0.00;In stock (19 available);0
In Her Wake;12.84;19;Thriller;http://books.toscrape.com/media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg;23356462d1320d61;Books;12.84;12.84;0.00;In stock (19 available);0
How Music Works;37.32;19;Music;http://books.toscrape.com/media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg;327f68a59745c102;Books;37.32;37.32;0.00;In stock (19 available);0
Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More;30.52;19;Food and Drink;http://books.toscrape.com/media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg;5674a18a29a43ced;Books;30.52;30.52;0.00;In stock (19 available);0
Chase Me (Paris Nights #2);25.27;19;Romance;http://books.toscrape.com/media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg;c2e46a2ee3b4a322;Books;25.27;25.27;0.00;In stock (19 available);0
Black Dust;34.53;19;Romance;http://books.toscrape.com/media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg;00bfed9e18bb36f3;Books;34.53;34.53;0.00;In stock (19 available);0
Birdsong: A Story in Pictures;54.64;19;Childrens;http://books.toscrape.com/media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg;9528d0948525bf5f;Books;54.64;54.64;0.00;In stock (19 available);0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana;22.50;19;Default;http://books.toscrape.com/media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg;c7d160c2c0de586f;Books;22.50;22.50;0.00;In stock (19 available);0
Aladdin and His Wonderful Lamp;53.13;19;Default;http://books.toscrape.com/media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg;904208d6aa64b655;Books;53.13;53.13;0.00;In stock (19 available);0
Worlds Elsewhere: Journeys Around Shakespeareâs Globe;40.30;18;Nonfiction;http://books.toscrape.com/media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg;4c28def39d850cdf;Books;40.30;40.30;0.00;In stock (18 available);0
Wall and Piece;44.18;18;Art;http://books.toscrape.com/media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg;ccd9ffa25efabdea;Books;44.18;44.18;0.00;In stock (18 available);0
The Four Agreements: A Practical Guide to Personal Freedom;17.66;18;Spirituality;http://books.toscrape.com/media/cache/2b/1b/2b1bfecae9d512cb6ee943ccf786216f.jpg;6258a1f6a6dcfe50;Books;17.66;17.66;0.00;In stock (18 available);0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate;31.05;18;Nonfiction;http://books.toscrape.com/media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg;3c039985229453bf;Books;31.05;31.05;0.00;In stock (18 available);0
The Elephant Tree;23.82;18;Thriller;http://books.toscrape.com/media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg;5dada2b7be26bd03;Books;23.82;23.82;0.00;In stock (18 available);0
The Bear and the Piano;36.89;18;Childrens;http://books.toscrape.com/media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg;9f6568e9c95f60b0;Books;36.89;36.89;0.00;In stock (18 available);0
Sophie's World;15.94;18;Philosophy;http://books.toscrape.com/media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg;6be3beb0793a53e7;Books;15.94;15.94;0.00;In stock (18 available);0
Penny Maybe;33.29;18;Default;http://books.toscrape.com/media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg;668fe56b17cfcd4f;Books;33.29;33.29;0.00;In stock (18 available);0
Maude (1883-1993):She Grew Up with the country;18.02;18;Default;http://books.toscrape.com/media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg;094b269567e1c300;Books;18.02;18.02;0.00;In stock (18 available);0
In a Dark, Dark Wood;19.63;18;Mystery;http://books.toscrape.com/media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg;19ed25f4641d5efd;Books;19.63;19.63;0.00;In stock (18 available);0
Behind Closed Doors;52.22;18;Thriller;http://books.toscrape.com/media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg;be5cc846f45496fb;Books;52.22;52.22;0.00;In stock (18 available);0
You can't bury them all: Poems;33.63;17;Poetry;http://books.toscrape.com/media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg;55f9da0c5eea2e10;Books;33.63;33.63;0.00;In stock (17 available);0
Slow States of Collapse: Poems;57.31;17;Poetry;http://books.toscrape.com/media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg;b4fd5943413e089a;Books;57.31;57.31;0.00;In stock (17 available);0
Reasons to Stay Alive;26.41;17;Nonfiction;http://books.toscrape.com/media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg;c8f7f0cb1abb9cac;Books;26.41;26.41;0.00;In stock (17 available);0
Private Paris (Private #10);47.61;17;Fiction;http://books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg;b12b89017878a60d;Books;47.61;47.61;0.00;In stock (17 available);0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.;23.11;17;Nonfiction;http://books.toscrape.com/media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg;c27f6e1f185b0383;Books;23.11;23.11;0.00;In stock (17 available);0
Without Borders (Wanderlove #1);45.07;16;New Adult;http://books.toscrape.com/media/cache/de/26/de269ee688d4dc51846567f3942600ce.jpg;acddfeab2a407640;Books;45.07;45.07;0.00;In stock (16 available);0
When We Collided;31.77;16;Contemporary;http://books.toscrape.com/media/cache/17/db/17db3de71e8217d4277a9328b04f56cf.jpg;3ecb690d1542c568;Books;31.77;31.77;0.00;In stock (16 available);0
We Love You, Charlie Freeman;50.27;16;Fiction;http://books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg;8d455c7539795d2a;Books;50.27;50.27;0.00;In stock (16 available);0
Untitled Collection: Sabbath Poems 2014;14.27;16;Poetry;http://books.toscrape.com/media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg;657fe5ead67a7767;Books;14.27;14.27;0.00;In stock (16 available);0
Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness;44.18;16;Nonfiction;http://books.toscrape.com/media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg;d170b5a0da46380e;Books;44.18;44.18;0.00;In stock (16 available);0
Unicorn Tracks;18.78;16;Fantasy;http://books.toscrape.com/media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg;7ae099f3898e0209;Books;18.78;18.78;0.00;In stock (16 available);0
Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink;25.52;16;History;http://books.toscrape.com/media/cache/27/a1/27a1ebe79d6e6759ec68ea9f427a4f71.jpg;9a9d6e9bc555731e;Books;25.52;25.52;0.00;In stock (16 available);0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2);16.28;16;Sequential Art;http://books.toscrape.com/media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg;09555be379ad9253;Books;16.28;16.28;0.00;In stock (16 available);0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity;31.12;16;Nonfiction;http://books.toscrape.com/media/cache/f4/21/f4210912ca58ef35f8ad120fe3dfed38.jpg;7858914fad68493c;Books;31.12;31.12;0.00;In stock (16 available);0
This One Summer;19.49;16;Sequential Art;http://books.toscrape.com/media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg;51653ef291ab7ddc;Books;19.49;19.49;0.00;In stock (16 available);0
Thirst;17.27;16;Fiction;http://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg;709822d0b5bcb7f4;Books;17.27;17.27;0.00;In stock (16 available);0
The Torch Is Passed: A Harding Family Story;19.09;16;Add a comment;http://books.toscrape.com/media/cache/c7/26/c7260547c468dbe78af92cf3927c2a1c.jpg;4eed62cf5f8d8edf;Books;19.09;19.09;0.00;In stock (16 available);0
The Secret of Dreadwillow Carse;56.13;16;Childrens;http://books.toscrape.com/media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg;b5ea0b5dabed25a8;Books;56.13;56.13;0.00;In stock (16 available);0
The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!;56.41;16;Food and Drink;http://books.toscrape.com/media/cache/fd/af/fdaf3c3104c559941c01e840fecd2659.jpg;142d767a56a9254d;Books;56.41;56.41;0.00;In stock (16 available);0
The Past Never Ends;56.50;16;Mystery;http://books.toscrape.com/media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg;5ee94540d0749ea0;Books;56.50;56.50;0.00;In stock (16 available);0
The Natural History of Us (The Fine Art of Pretending #2);45.22;16;Young Adult;http://books.toscrape.com/media/cache/da/b8/dab87c14168f3ce18530447ec6437361.jpg;cedf82b5086e4691;Books;45.22;45.22;0.00;In stock (16 available);0
The Nameless City (The Nameless City #1);38.16;16;Sequential Art;http://books.toscrape.com/media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg;7d385d34d12e60ff;Books;38.16;38.16;0.00;In stock (16 available);0
The Murder That Never Was (Forensic Instincts #5);54.11;16;Fiction;http://books.toscrape.com/media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg;d01ac97e2b8947c2;Books;54.11;54.11;0.00;In stock (16 available);0
The Most Perfect Thing: Inside (and Outside) a Bird's Egg;42.96;16;Science;http://books.toscrape.com/media/cache/a3/9e/a39e7c5c9fc61c2ae0f81116aa8cbb0e.jpg;aadee1c326d286e3;Books;42.96;42.96;0.00;In stock (16 available);0
The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy;23.89;16;Add a comment;http://books.toscrape.com/media/cache/c9/eb/c9eb6ecf45abf796df0044600db65e55.jpg;31075275518532d7;Books;23.89;23.89;0.00;In stock (16 available);0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing;16.77;16;Nonfiction;http://books.toscrape.com/media/cache/26/65/2665876e19a6c92130f02cfda3bd3846.jpg;0da9aa9d24677fc0;Books;16.77;16.77;0.00;In stock (16 available);0
The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer;20.59;16;Default;http://books.toscrape.com/media/cache/a5/b8/a5b8d2d5165a06fc762e8eaf8b04f98f.jpg;8c9e6bf2467d740d;Books;20.59;20.59;0.00;In stock (16 available);0
The Gutsy Girl: Escapades for Your Life of Epic Adventure;37.13;16;Nonfiction;http://books.toscrape.com/media/cache/73/cb/73cb1236d96f455d712516fffeae2304.jpg;acd86a5426e21ca0;Books;37.13;37.13;0.00;In stock (16 available);0
The Electric Pencil: Drawings from Inside State Hospital No. 3;56.06;16;Nonfiction;http://books.toscrape.com/media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg;a30b270e25489e5c;Books;56.06;56.06;0.00;In stock (16 available);0
The Death of Humanity: and the Case for Life;58.11;16;Philosophy;http://books.toscrape.com/media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg;bd261725b99f5983;Books;58.11;58.11;0.00;In stock (16 available);0
The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life;49.05;16;Health;http://books.toscrape.com/media/cache/9c/c6/9cc673854af8fd155953384b3cac334e.jpg;43c6a960757cf559;Books;49.05;49.05;0.00;In stock (16 available);0
The Art Forger;40.76;16;Add a comment;http://books.toscrape.com/media/cache/f5/3b/f53bc7b18914c97de7c23967293be119.jpg;80cfab6bcff3a244;Books;40.76;40.76;0.00;In stock (16 available);0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind;19.73;16;History;http://books.toscrape.com/media/cache/2e/65/2e654066306042f4c462ba4d048650d9.jpg;a3d2a4250807f1e9;Books;19.73;19.73;0.00;In stock (16 available);0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution;32.24;16;Spirituality;http://books.toscrape.com/media/cache/da/0c/da0ca35421a5120b2109028e44a53f56.jpg;7d6d2a6c0276f81b;Books;32.24;32.24;0.00;In stock (16 available);0
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up;41.83;16;Nonfiction;http://books.toscrape.com/media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg;87b0615b6e1f4d7b;Books;41.83;41.83;0.00;In stock (16 available);0
Soul Reader;39.58;16;Default;http://books.toscrape.com/media/cache/cc/5e/cc5e82c2205da748c6c19fbc1876586b.jpg;e6af5bf1163c1151;Books;39.58;39.58;0.00;In stock (16 available);0
Security;39.25;16;Horror;http://books.toscrape.com/media/cache/79/2b/792bdeb2cf7d8efaef0e401e5a27b4da.jpg;6f78a0d744c35456;Books;39.25;39.25;0.00;In stock (16 available);0
Saga, Volume 6 (Saga (Collected Editions) #6);25.02;16;Fantasy;http://books.toscrape.com/media/cache/4a/99/4a996ae54711cea37e370428b54f8b19.jpg;c849f0b2f5d6a742;Books;25.02;25.02;0.00;In stock (16 available);0
Saga, Volume 5 (Saga (Collected Editions) #5);51.04;16;Sequential Art;http://books.toscrape.com/media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg;53a3d11bb568cc8b;Books;51.04;51.04;0.00;In stock (16 available);0
Reskilling America: Learning to Labor in the Twenty-First Century;19.83;16;Nonfiction;http://books.toscrape.com/media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg;d7310206583a54b6;Books;19.83;19.83;0.00;In stock (16 available);0
Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15);50.40;16;Sequential Art;http://books.toscrape.com/media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg;c82a3e358c773c73;Books;50.40;50.40;0.00;In stock (16 available);0
Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1);13.61;16;Sequential Art;http://books.toscrape.com/media/cache/6c/8f/6c8ffe949fb650ba60eff25be1692881.jpg;0fa6dceead7ce47a;Books;13.61;13.61;0.00;In stock (16 available);0
Princess Between Worlds (Wide-Awake Princess #5);13.34;16;Fantasy;http://books.toscrape.com/media/cache/db/01/db01b38d3200a5faff4ead42791416e4.jpg;0e691eda369f4e09;Books;13.34;13.34;0.00;In stock (16 available);0
Pop Gun War, Volume 1: Gift;18.97;16;Sequential Art;http://books.toscrape.com/media/cache/6f/7b/6f7b3b8445b943f4ff7426360daefb88.jpg;e80f8e518b300dfe;Books;18.97;18.97;0.00;In stock (16 available);0
Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics;36.28;16;History;http://books.toscrape.com/media/cache/31/e6/31e6e0a41e62858180b268c27b20a770.jpg;7392c0032f92d816;Books;36.28;36.28;0.00;In stock (16 available);0
Patience;10.16;16;Sequential Art;http://books.toscrape.com/media/cache/71/0c/710cdaa148f10aac35c27bb93b4f532e.jpg;9429b4d59c537af5;Books;10.16;10.16;0.00;In stock (16 available);0
Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1);15.44;16;Sequential Art;http://books.toscrape.com/media/cache/0c/8a/0c8ae80b592bc1b4c555d6b29d1cfa28.jpg;889139b8e9c4cb36;Books;15.44;15.44;0.00;In stock (16 available);0
orange: The Complete Collection 1 (orange: The Complete Collection #1);48.41;16;Sequential Art;http://books.toscrape.com/media/cache/33/0b/330bf57e3f2e70548f87d39cb956f7eb.jpg;11809b1d323b3057;Books;48.41;48.41;0.00;In stock (16 available);0
Online Marketing for Busy Authors: A Step-By-Step Guide;46.35;16;Self Help;http://books.toscrape.com/media/cache/49/e1/49e1f207b2149e34390a2c6aa7cfc113.jpg;9ffa38d3b832433a;Books;46.35;46.35;0.00;In stock (16 available);0
On a Midnight Clear;14.07;16;Add a comment;http://books.toscrape.com/media/cache/75/9d/759d9276739200e2cb8101a36449ba20.jpg;b757c0c361e689ce;Books;14.07;14.07;0.00;In stock (16 available);0
Obsidian (Lux #1);14.86;16;Young Adult;http://books.toscrape.com/media/cache/88/3f/883fb0f2304efca8724c629f03a4b82a.jpg;3c346ab1e76ae1f6;Books;14.86;14.86;0.00;In stock (16 available);0
My Paris Kitchen: Recipes and Stories;33.37;16;Food and Drink;http://books.toscrape.com/media/cache/ae/d5/aed548aefcac7803a599b05da3acb86e.jpg;784bc2279baa878d;Books;33.37;33.37;0.00;In stock (16 available);0
Masks and Shadows;56.40;16;Fantasy;http://books.toscrape.com/media/cache/05/c4/05c43fe821ae19169c7baa8a54c7e869.jpg;fa9610a50a1bf149;Books;56.40;56.40;0.00;In stock (16 available);0
Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed;14.02;16;Food and Drink;http://books.toscrape.com/media/cache/48/19/48192cbef9101060e3787d87d7c8d7d1.jpg;72f9d5be3472d34e;Books;14.02;14.02;0.00;In stock (16 available);0
Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8);46.91;16;Sequential Art;http://books.toscrape.com/media/cache/67/f8/67f83a06f77d0ff3b06cb8ac04839422.jpg;460089f796fb3f82;Books;46.91;46.91;0.00;In stock (16 available);0
Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4);45.61;16;Sequential Art;http://books.toscrape.com/media/cache/1c/78/1c78cb31ededc4c662857cf65bd1619d.jpg;b6ee99bcf06fc91f;Books;45.61;45.61;0.00;In stock (16 available);0
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12);19.92;16;Sequential Art;http://books.toscrape.com/media/cache/d6/9b/d69b7020c4210e12882ffca0428919a2.jpg;57e5a4d515c8ce44;Books;19.92;19.92;0.00;In stock (16 available);0
Layered: Baking, Building, and Styling Spectacular Cakes;40.11;16;Food and Drink;http://books.toscrape.com/media/cache/73/06/7306b860c7887dfb2a4b0083e2d6bf0d.jpg;7b75cc7f223791f4;Books;40.11;40.11;0.00;In stock (16 available);0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners);53.90;16;Add a comment;http://books.toscrape.com/media/cache/6d/80/6d80608ef81001ad068df06fae44b7f8.jpg;228f74b74f3a08ae;Books;53.90;53.90;0.00;In stock (16 available);0
Join;35.67;16;Science Fiction;http://books.toscrape.com/media/cache/df/64/df642e483f7ae23de6888c73f05e2014.jpg;18ad3ed896c7ce05;Books;35.67;35.67;0.00;In stock (16 available);0
In the Country We Love: My Family Divided;22.00;16;Nonfiction;http://books.toscrape.com/media/cache/11/08/1108a8d9ebccd9cd474012121c32a7f5.jpg;b136b1b180ca753a;Books;22.00;22.00;0.00;In stock (16 available);0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine;57.36;16;Science;http://books.toscrape.com/media/cache/e1/1e/e11e7e9514a123aee2415a1def85e638.jpg;e4f74c16de34d440;Books;57.36;57.36;0.00;In stock (16 available);0
I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5);29.17;16;Sequential Art;http://books.toscrape.com/media/cache/58/e2/58e2097169e92a95d973da420ce7cc98.jpg;8d4eefad7a2b3915;Books;29.17;29.17;0.00;In stock (16 available);0
I am a Hero Omnibus Volume 1;54.63;16;Sequential Art;http://books.toscrape.com/media/cache/f7/4d/f74db5141becf01083abc03c078f4922.jpg;1c89ae5bb804e4de;Books;54.63;54.63;0.00;In stock (16 available);0
How to Be Miserable: 40 Strategies You Already Use;46.03;16;Self Help;http://books.toscrape.com/media/cache/b0/9d/b09d7cb6aa8ae112dd457e588762d293.jpg;a6f99b9e687f9d46;Books;46.03;46.03;0.00;In stock (16 available);0
Her Backup Boyfriend (The Sorensen Family #1);33.97;16;Romance;http://books.toscrape.com/media/cache/41/ee/41ee38c1d15f0139a3fb17b730dc4347.jpg;2a97cffe61c3c4c7;Books;33.97;33.97;0.00;In stock (16 available);0
Giant Days, Vol. 2 (Giant Days #5-8);22.11;16;Sequential Art;http://books.toscrape.com/media/cache/d0/6f/d06ff4e3b9daf93b18bb21f1af19b5eb.jpg;f2df3bb043a8abb0;Books;22.11;22.11;0.00;In stock (16 available);0
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton;29.69;16;Historical Fiction;http://books.toscrape.com/media/cache/f9/9e/f99e760b894d10c6e5ed578618918367.jpg;9beb96a2300109d7;Books;29.69;29.69;0.00;In stock (16 available);0
First and First (Five Boroughs #3);15.97;16;Romance;http://books.toscrape.com/media/cache/01/a5/01a5285b17e7ec0e7e56294a8f8af28d.jpg;9e28048cea8d41f7;Books;15.97;15.97;0.00;In stock (16 available);0
Fifty Shades Darker (Fifty Shades #2);21.96;16;Romance;http://books.toscrape.com/media/cache/51/86/51862681bebec59be61f36f937c71fce.jpg;7add3f8e49ec0826;Books;21.96;21.96;0.00;In stock (16 available);0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day;54.35;16;Nonfiction;http://books.toscrape.com/media/cache/15/97/15972684c6f44f1be5e751d2e067cc16.jpg;311c0dd0e354a33e;Books;54.35;54.35;0.00;In stock (16 available);0
Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master;37.97;16;Religion;http://books.toscrape.com/media/cache/a7/9c/a79cac7aec3816fb754c1aedd2e82986.jpg;fce19f9b4a943f22;Books;37.97;37.97;0.00;In stock (16 available);0
Danganronpa Volume 1;51.99;16;Sequential Art;http://books.toscrape.com/media/cache/ce/39/ce3942d9a10b6a17805136ace7c140fa.jpg;09b6cc87e62c2c58;Books;51.99;51.99;0.00;In stock (16 available);0
Crown of Midnight (Throne of Glass #2);43.29;16;Fantasy;http://books.toscrape.com/media/cache/b7/7d/b77d5e56daa3c22822abf1b8affbaef9.jpg;7267864328ae8b9d;Books;43.29;43.29;0.00;In stock (16 available);0
Codename Baboushka, Volume 1: The Conclave of Death;36.72;16;Sequential Art;http://books.toscrape.com/media/cache/ed/a5/eda54d1bfcdd39488013f7aae1eaf659.jpg;8754c83ab2a7ae71;Books;36.72;36.72;0.00;In stock (16 available);0
Camp Midnight;17.08;16;Sequential Art;http://books.toscrape.com/media/cache/7a/67/7a671ecf69cdcd2ea9ebe85da1b5585f.jpg;7b599c8bfcdd8d30;Books;17.08;17.08;0.00;In stock (16 available);0
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle;29.14;16;Nonfiction;http://books.toscrape.com/media/cache/c5/f2/c5f2361aab546bc7f851cf93aec94ca3.jpg;bee3672891cca906;Books;29.14;29.14;0.00;In stock (16 available);0
Burning;28.81;16;Young Adult;http://books.toscrape.com/media/cache/9a/2c/9a2c2936fa9bd422be96805924e1411a.jpg;5ceb951f629700a2;Books;28.81;28.81;0.00;In stock (16 available);0
